急租 近白石龙地铁站 新彩苑 全新全配全齐 首租,7500, 梅林关口,4室2厅4卫 51㎡ 西北向 精装修 
传麒景苑公寓28平，拎包入住！正南向，地铁9号线梅景站。,4500, 景田北,1室1卫 28㎡ 南向 精装修 
荣村小区 1室0厅1卫,2000, 蛇口,1室1卫 20㎡ 南向 精装修 
6号线地铁站附近 暑期特惠 押一付一 大阳台可做饭 可养宠物,770, 民治,1室1卫 21㎡ 南北向 简单装修 
商业中心好房。押一，一房，房东急租，干净清爽，钥匙房，随时约,1080, 大浪,1室1卫 28㎡ 南北向 精装修 
向西村 云景豪园大两房 精装全齐 业主直租 拎包入住,4300, 东门,2室2厅2卫 73㎡ 东南向 精装修 
8月14上新 新安灵芝地铁口 冠城世家豪华装修4房9500空,9500, 新安,4室2厅4卫 142㎡ 南向 简单装修 
清湖地铁站精装大一房，情侣佳选地，直租无领包入住,1000, 龙华,1室1卫 38.0㎡ 南向 精装修 
地铁1号线 拎包入住 家私齐全,900, 固戍,1室1卫 15㎡ 南向 精装修 
2房家私家电全齐 拎包入住 看房方便,2500, 坪山,2室1厅2卫 45㎡ 东向 精装修 
龙塘新村 1室1厅1卫,1700, 莱蒙水榭春天,1室1厅1卫 46㎡ 南向 精装修 
坂田地铁口附近，精装一房一厅，家私家电齐全，拎包入住，无中介,999, 坂田,1室1厅1卫 40㎡ 南向 精装修 
怡泰大厦 3室2厅1卫,8000, 翠竹,3室2厅3卫 97㎡ 西南向 精装修 
金碧花园 2室1厅1卫,2800, 桃源居,2室1厅2卫 38㎡ 东向 精装修 
民治 碧水龙庭三期 大两房 大阳台 有停车位,5000, 民治,2室2厅2卫 74.5㎡ 南向 精装修 
民治大润发 全采光无遮挡大单间 家私家电齐全 拎包入住,1500, 深圳北站,1室1卫 25㎡ 南向 精装修 
中山公园旁 兰丽花园精装三房出租 家具家电齐全 近科技园,6200, 南头,3室2厅3卫 100㎡ 南北向 精装修 
鸿瑞花园 2室2厅1卫,8300, 南山中心区,2室2厅2卫 71.59㎡ 南向 简单装修 
步涌附近，大单间，家私家电，住宿安静，交通方便，随时可以看房,550, 沙井,1室1卫 24㎡ 南向 精装修 
怡合花园 1室1厅1卫,3650, 新安,1室1厅1卫 45㎡ 东南向 精装修 
时光里 1室0厅1卫,1200, 丹竹头,1室1卫 20㎡ 南向 精装修 
嘉宝田花园小区 家私电齐 户型方正 采光好 看房方便,5600, 笋岗,2室2厅2卫 70㎡ 南向 精装修 
陶吓新村宫廷风电梯房一房一厅，拎包入住，管家服务,1780, 大浪,1室1厅1卫 30㎡ 南北向 精装修 
白石洲 近地铁 免中介费 侨城尚寓 一房一厅 家私电全齐,5170, 华侨城,1室1厅1卫 47㎡ 南北向 精装修 
百旺研发公寓1室，户型正气，装修干净清爽，价格聚划算啊！！！,1300, 西丽,1室1厅1卫 32.00㎡ 南向 精装修 
固戍海滨新村 1室0厅1卫 电梯房 南北通透 精装修,850, 固戍,1室1卫 12㎡ 南向 精装修 
鸿荣源尚峰 大气3房，正南朝向，采光好，拎包入住,5500, 丹竹头,3室2厅3卫 75.97㎡ 东南向 精装修 
宝岭花园 3室2厅1卫,2800, 布吉街,3室2厅3卫 94㎡ 南向 简单装修 
沙吓村 1室0厅1卫,1399, 民治,1室1卫 18㎡ 南向 精装修 
17号签定八折 港澳8号 精装一房 家私家电齐全 拎包入住,3500, 东门,1室1厅1卫 45㎡ 南向 精装修 
科技园，智能家具，精装修风格，拎包入住,4080, 科技园,1室1卫 30㎡ 南向 精装修 
珠江广场附近 大单间直租 免中介 柠檬公馆盛平村 全新家电,1200, 南联,1室1厅1卫 40.00㎡ 南向 精装修 
向西地铁口 长丰苑  可做饭 停车方便 近东门国贸湖贝文锦渡,1490, 东门,1室1卫 14.9㎡ 南向 精装修 
整租福田区七号线上沙全采光电梯大套房，拎包入住,1350, 上沙,1室1卫 15㎡ 南向 精装修 
租房 实拍现房出租 地铁口2千起租 不虚假 11号线,2780, 碧海湾,1室1厅1卫 30㎡ 东北向 简单装修 
龙华油富商城 2室 1厅1卫,2000, 油松,2室1厅2卫 55㎡ 南向 精装修 
港岛银座 景观精装1室 双阳台 带衣帽间 老街地铁口,4700, 蔡屋围,1室1厅1卫 35㎡ 东南向 精装修 
1号线固戍大小单间，一房一厅通风向阳购物便捷温馨干净拎包入住,900, 固戍,1室1卫 20.0㎡ 南北向 豪华装修 
向南东村 1室0厅1卫,1100, 南山地铁口,1室1卫 13㎡ 西南向 
近75号线精装大单间家私齐全交通购物便利,1180, 大学城,1室1卫 14㎡ 南北向 精装修 
龙岸花园128平四房 地铁10号线500米 随时看房 车位足,7500, 民治,4室2厅4卫 128㎡ 南北向 简单装修 
天安云谷 泽润中心 禾坪岗村,800, 坂田,1室1卫 14㎡ 南向 精装修 
近西丽地铁站精装一房单间出租，家电齐全。带停车位。,2500, 西丽,1室1厅1卫 30㎡ 南向 精装修 
"免中介直租房 地铁站附近家电家具齐全  干净整洁,拎包入住",1680, 新安,1室1厅1卫 36.00㎡ 南北向 豪华装修 
蛇口，雷公岭住宅区，精装3房2厅，楼层好，看房方便，急租,5000, 蛇口,3室2厅3卫 80㎡ 南北向 精装修 
敦信大厦 2室 1厅1卫,3500, 人民南,2室1厅2卫 50㎡ 东南向 精装修 
大三房送阁楼 景观好 两房的租金住三房 宝中地铁站很近 有钥,7600, 宝安中心区,3室2厅3卫 100㎡ 南向 简单装修 
实地拍摄，皇庭世纪标准一房，住家装修，业主诚心出租。,5000, 皇岗,1室1厅1卫 45㎡ 北向 精装修 
（必看好房）真实在租 科技园 深大站 近科兴 藤讯 精装修,3300, 科技园,1室1厅1卫 37㎡ 南向 精装修 
自住急转 2号线黄贝岭单间 地铁两站到大剧院 华强北可做饭,1280, 黄贝岭,1室1卫 14.9㎡ 南向 精装修 
南山西丽75号线公交直达 南北通透 配套齐全 可押一,1100, 西丽,1室1卫 25㎡ 东南向 精装修 
永辉超市旁，星际家园精装一房一厅诚心出租,2000, 松岗,1室1厅1卫 55㎡ 北向 简单装修 
[整租]免中介 一号线固戍地铁站万象新天附近品牌公寓直租,1000, 固戍,1室1卫 20㎡ 南向 精装修 
百合山庄 2室1厅1卫,4700, 布吉关,2室1厅2卫 79.94㎡ 南向 简单装修 
桔子坑村 2室1厅1卫,3300, 横岗,2室1厅2卫 60㎡ 东南向 豪华装修 
友邻公寓 1室1厅1卫,4000, 南头,1室1厅1卫 30㎡ 北向 精装修 
固戍花园 3室2厅2卫,4700, 固戍,3室2厅3卫 130㎡ 南向 精装修 
固戍地铁站精装温馨单间,900, 领航城,1室1卫 24.0㎡ 南向 精装修 
户型通透很方正，设计很合理，实用率很高。通风采光很好，环境,2500, 皇岗,1室1卫 20㎡ 南向 简单装修 
天安数码城 超大一房一厅采光好 全新家具 可停车拎包入住,1400, 龙城国际,1室1厅1卫 43㎡ 南向 精装修 
杨美村  位置好安静！视野好！隔音好！随时能看房,1530, 坂田,1室1卫 18.00㎡ 南向 精装修 
无中介直租 精装两房 近平湖山厦 外国语学校 环境好居家舒心,2200, 平湖,2室1厅2卫 65㎡ 南向 精装修 
每月返租金！金晖大厦 房间独立密码锁 装修风格适合上班族,2390, 南油,1室1卫 20.00㎡ 南向 精装修 
佳兆业前海广场(商住楼) 3室2厅2卫,8000, 前海,3室2厅3卫 75㎡ 南向 精装修 
坪洲站热租房，首次出租，环境好，豪横大阳台！,2480, 坪洲,1室1卫 25㎡ 东南向 精装修 
临地铁 丹郡花园 精装修大三房 家私齐全 业主急租!,4750, 丹竹头,3室2厅3卫 100.75㎡ 东向 精装修 
洪浪北地铁岭下花园 大单间直租啦 采光好 家私齐全 拎包入住,1780, 新安,1室1卫 24.00㎡ 南北向 精装修 
金沙花园(龙岗) 1室0厅1卫,1000, 长龙,1室1卫 23㎡ 东南向 简单装修 
业主急租，精装修一房丹郡花园配齐家私可谈看房方便！,3280, 丹竹头,1室1厅1卫 50.86㎡ 北向 精装修 
书香门第上河坊 2室2厅1卫 3500元月 南北通透,3500, 民治,2室2厅2卫 48.5㎡ 南向 精装修 
地铁口酒店公寓，可做饭，大阳台，家私齐全，拎包入住，专人管理,1450, 购物公园,1室1卫 14㎡ 南北向 精装修 
下沙二坊 2室1厅1卫,3700, 下沙,2室1厅2卫 60㎡ 东南向 简单装修 
南海玫瑰园三期 新装修业主自住 家电齐全 4房出租,22000, 蛇口,4室2厅4卫 150.0㎡ 南北向 精装修 
五和雅园 两房整租 无中介 配置齐全 环境好居住舒适 拎包住,3000, 坂田,2室1厅2卫 58㎡ 东南向 精装修 
南山区西丽白芒村公寓豪华装修 家私家电齐全 无 押一,1400, 西丽,1室1厅1卫 35.00㎡ 南北向 豪华装修 
浪口三区 1室0厅1卫,650, 大浪,1室1卫 26㎡ 南向 精装修 
万科云城旁 科技园必选 海贼王风格  价格合适  特笋房,6400, 西丽,3室2厅3卫 83㎡ 南向 豪华装修 
玻璃围新村大单间限时优惠1008元拎包入住,1008, 福永,1室1卫 25㎡ 南向 简单装修 
旭飞华天苑 1室1厅1卫 2700元月 南北通透 精装修,2700, 泥岗,1室1厅1卫 36㎡ 南向 精装修 
花样年花好园 1室0厅1卫,3700, 下沙,1室1卫 33㎡ 南向 精装修 
中心公馆一房一厅出租 低至1800随时看房,1800, 坪山,1室1厅1卫 33㎡ 南向 精装修 
这么优秀融湖一期精装两房，家私全齐,3800, 平湖,2室2厅2卫 61.89㎡ 东南向 精装修 
3号线 塘坑 怡豪花园 1室0厅1卫 1380元月 精装修,1700, 横岗,1室1厅1卫 32㎡ 南北向 精装修 
洪福雅苑 2室1厅1卫,3000, 翻身路,2室1厅2卫 53㎡ 南向 豪华装修 
佳兆业大都会，布吉地铁口，精装一房，价格实惠，拎包入住。,2500, 布吉街,1室1厅1卫 48㎡ 西南向 精装修 
国都花园对面的三房 出租桂园小学红桂中学,7300, 蔡屋围,3室2厅3卫 90㎡ 南向 精装修 
大单间！幸福家园(福田) 家私全齐 拎包入住 价格可谈,2170, 景田北,1室1卫 21.00㎡ 南向 精装修 
下早新村 1室1厅1卫,900, 大浪,1室1厅1卫 30㎡ 南向 简单装修 
可短租深圳北红山地铁口好户型可做饭整租免管理费好停车,1260, 民治,1室1卫 30㎡ 南向 精装修 
新华城美花园 采光充足，小区位置好，楼下有超市，交通方便,1750, 龙华,1室1卫 21.00㎡ 东向 精装修 
龙岗中心城 珠江广场 全新复式两房一厅 拎包入住 带大阳台,2400, 大运,2室1厅2卫 62㎡ 南向 精装修 
万科麓城一期 2室1厅1卫,4800, 上水径,2室1厅2卫 70㎡ 东南向 精装修 
嘉霖华禧精装一室一厅一卫,2835, 坂田,1室1厅1卫 39.1㎡ 西向 精装修 
11号线碧海湾 1号线西乡站双地铁押一付一 独栋品牌公寓,2280, 西乡,1室1卫 30㎡ 东南向 精装修 
博伦花园 1室0厅1卫,2000, 石厦,1室1卫 18㎡ 南向 简单装修 
房子名称,房子价格,房子地段,房子简介
店长力推，左看体育公园，正朝东南向，精装三房全齐出租,3900, 观澜,3室2厅3卫 82㎡ 南向 精装修 
碧水龙庭精装大两房，装修保养好，看小区花园，可拎包入住,4500, 民治,2室2厅2卫 73㎡ 南向 精装修 
精装两房 家私电器全齐 朝南看花园,3700, 慢城,2室2厅2卫 68㎡ 南向 精装修 
莱蒙水榭3期，精装3房，仅租6200 急租  红山地铁旁,6200, 莱蒙水榭春天,3室2厅3卫 89.5㎡ 东南向 精装修 
佳华领域广场，全新家私电器，拎包入住,3400, 观澜,2室2厅2卫 52㎡ 南向 精装修 
沙井天虹旁地铁口 精装三房 品牌家电拎包入住 停车方便,4000, 沙井,3室1厅3卫 125.00㎡ 南北向 豪华装修 
漾福居68平大两房 户型方正 厅出阳台 朝南向 看房有钥匙,6500, 华强南,2室2厅2卫 68㎡ 东南向 精装修 
万科直推保养非常好，白石龙地铁公园100米。看房方便,7500, 龙华,3室2厅3卫 85㎡ 东南向 精装修 
不收中介费，自带花园种菜种花，就一套，空房可以配齐出租。,4500, 塘尾,3室2厅3卫 89㎡ 南北向 精装修 
大浪商业中心 福轩新村 精装单间 配套齐全 拎包入住 ！！,1000, 大浪,1室1卫 25㎡ 南向 精装修 
沙井地铁口  中心名座 两房精装全齐,2600, 沙井,2室1厅2卫 60㎡ 西向 精装修 
翠竹苑 93平实用大两房 靠翠竹山公园 看房方便 地铁口旁,5000, 翠竹,2室2厅2卫 93㎡ 南向 简单装修 
红山站龙光玖钻复式3房租4800元，拎包入住,4800, 民治,3室1厅3卫 40㎡ 东向 豪华装修 
大世纪花园 安静看花园 近木棉湾地铁 全齐家私电器 急租,4780, 木棉湾,3室2厅3卫 91.00㎡ 西北向 精装修 
爱联地铁口 中粮祥云 缤纷世纪 精装整租 家具家电齐全,2400, 爱联,2室1厅2卫 42.40㎡ 南向 精装修 
11号线碧海湾 1号线西乡站双地铁押一付一 独栋品牌公寓,2280, 西乡,1室1卫 30㎡ 东南向 精装修 
后海 华润深圳湾悦府(一期) 户型方正 使用率高 光线充足随,1980, 后海,1室1卫 19.00㎡ 西向 精装修 
龙岗信义5期  深圳东站  步行可达3号线以及五号线百鸽笼,4200, 信义,2室1厅2卫 67.00㎡ 北向 精装修 
天泽花园 2室1厅1卫,5650, 皇岗,2室1厅2卫 50㎡ 东向 简单装修 
福田近地铁 押一付一 精装大单间 交通便利家私齐全 拎包入住,1400, 保税区,1室1卫 14㎡ 南北向 精装修 
学校地铁双附近，车位充足位置独到，有钥匙都可以看房,5500, 宝安中心区,3室2厅3卫 89㎡ 南北向 豪华装修 
南山区7号线龙井地铁站交通方便精美单间,2350, 西丽,1室1卫 23㎡ 西南向 精装修 
鸿贵苑 3室2厅2卫,3680, 固戍,3室2厅3卫 108㎡ 南向 简单装修 
华强北 华新村 新装修 独卫单间 带大阳台 户型方正 采光好,1700, 华强北,1室1卫 14㎡ 南向 简单装修 
上梅林综合楼 装修很耐厮 齐全高层实景拍摄有钥匙,2440, 上梅林,1室 20.00㎡ 东向 精装修 
蛇口金地草莓社区复式双阳台精装两房，家私家电齐全，看房方便,8000, 蛇口,2室1厅2卫 88.0㎡ 南向 精装修 
东方威尼斯花园 2室1厅1卫,1000, 坪山,2室1厅2卫 60㎡ 南向 简单装修 
丽湖花园 1室0厅1卫 1280元月 南北通透 精装修,1280, 丽湖,1室1卫 14㎡ 南北向 精装修 
爱联地铁口，业主直租公寓，家电家私齐全，阳光房，独立厨卫。,700, 爱联,1室1卫 13㎡ 南向 精装修 
总有一处让人忘形的舒展自己，那就是这里，近临地铁站的青年公寓,1500, 田贝,1室1卫 30㎡ 南向 精装修 
菁英趣庭 3室2厅1卫,7500, 翻身路,3室2厅3卫 90㎡ 南向 
双地铁物业 近地铁  采光好房源 直租无中介,1880, 深圳北站,1室1厅1卫 30㎡ 南向 精装修 
整租！特价！特价！上塘地铁站！一房一厅均有！配套全拎包入住,1780, 民治,1室1厅1卫 40㎡ 南向 精装修 
百闻不如一见！2室南北75平献给懂得享受得你,9200, 蛇口,2室2厅2卫 75.0㎡ 东北向 精装修 
横岭五区 1室1厅1卫,2000, 龙华,1室1厅1卫 52㎡ 南向 精装修 
莲塘 鹏兴一期 地鉄口 1楼 3室 已全新装修 可配合上学,6000, 莲塘,3室2厅3卫 101.00㎡ 南向 简单装修 
大仟里 坪洲地铁站 40套房源 直租 交通便利 可拎包入住,1599, 坪洲,1室1厅1卫 35㎡ 南向 精装修 
地铁口拎包入住大开间，押一付一民水民地，来微棠有朋友，实图,1299, 民治,1室1卫 38㎡ 南向 精装修 
新世界四季御园 4室2厅2卫,6800, 莲塘,4室2厅4卫 76.89㎡ 南向 简单装修 
一号线地铁近距离 精装大两房 直租无中介 来电看房 签约返现,3000, 宝安中心区,2室1厅2卫 45㎡ 南向 精装修 
豪华装修，顶楼复式，水岸新都,7500, 龙岗中心城,5室3厅5卫 200㎡ 南向 豪华装修 
5号线翻身地铁 质优价廉 可养宠物 停车方便 押一付一,1980, 宝安中心区,1室1卫 37㎡ 南向 精装修 
平山村 1室1厅2卫,2500, 大学城,1室1厅1卫 45㎡ 北向 简单装修 
龙岗中心城 龙城中学旁紫薇花园 精装小三房 家私电齐全,3000, 龙城国际,3室2厅3卫 72㎡ 南向 精装修 
光雅园 阳光湾畔 坂田手造附近 复式两房整租 带阳台 拎包住,2800, 坂田,2室1厅2卫 50㎡ 东南向 精装修 
1号线固戍站  免中介  套间 家私齐全  随时看房入住,1380, 固戍,1室1厅1卫 35.00㎡ 东南向 精装修 
龙园山庄 3室 1厅1卫,800, 清水河,3室1厅3卫 77㎡ 南北向 精装修 
联系我带你看房！福荣楼 上限免租2个月！不满意随时退换,2340, 上沙,1室1卫 23.00㎡ 西向 精装修 
水榭花都  位置好安静！视野好！隔音好！随时能看房,2060, 香蜜湖,1室 19.00㎡ 西向 精装修 
佳兆业中心 1室0厅1卫,2400, 上步,1室1卫 22㎡ 西向 精装修 
房子名称,房子价格,房子地段,房子简介
石观工业区大单间拎包入住,650, 大浪,1室1卫 30㎡ 南向 简单装修 
秋硕小学旁峰会花园业主急租长租可免租15天，价格可谈。,3500, 公明,3室2厅3卫 98.00㎡ 东南向 精装修 
中海康城花园精装3房，家私家电齐全，拎包入住,3800, 大运,3室2厅3卫 89㎡ 东南向 精装修 
近地铁，一个月起租，家电齐全，独立厨卫，直接拎包入住，自建房,600, 南山中心区,1室1卫 36㎡ 南北向 精装修 
富通V都会高楼层80平两房两厅，正南朝向全齐家私仅租5300,5000, 固戍,2室2厅2卫 80㎡ 南向 精装修 
"近公交车站交通便利,厅出阳台看花园正规2房",7000, 南头,2室2厅2卫 70.08㎡ 东向 精装修 
龙华汽车站附近 一房一厅 精装修电梯房 带阳台家私全,1799, 龙华,1室1厅1卫 30㎡ 南向 精装修 
华强南漾福居高层朝西北精装两房厅出阳台户型方正实采光好,7000, 华强南,2室2厅2卫 62㎡ 西北向 精装修 
实图实价！智能精装四房空房出租！高层南北通透！看房方便！,10000, 西丽,4室2厅4卫 89㎡ 南北向 精装修 
园中花园3房出租。。,14000, 园岭,3室2厅3卫 106.99㎡ 南北向 精装修 
花园电梯房万众城华侨新苑旁警备区龙华公寓高层 大户型两房出租,3200, 龙华,2室1厅2卫 65㎡ 南向 豪华装修 
金翠园精装修两室 拎包入住 近地铁口 37号线 可随时入住,7900, 翠竹,2室2厅2卫 78㎡ 北向 精装修 
4号线 清湖地铁站 公寓出租 单间 一房 两房,1080, 龙华区政府,1室1卫 30㎡ 南向 豪华装修 
满京华云著  精装两房，客厅出大阳台看花园，地理位置佳,4000, 松岗,3室2厅3卫 84.00㎡ 南向 豪华装修 
1983创意小镇近木棉湾地铁站，大芬地铁站，精装公寓拎包入住,2900, 大芬,1室1厅1卫 35㎡ 南向 精装修 
水榭花都  位置好安静！视野好！隔音好！随时能看房,2060, 香蜜湖,1室 19.00㎡ 西向 精装修 
桐林花园 精装大两房 家私家电齐全 看房方便,5300, 沙头角,2室2厅2卫 74㎡ 南向 精装修 
蛇口中等装修2室便宜出租,11500, 蛇口,2室2厅2卫 76.0㎡ 东北向 精装修 
金鼎花园 2室1厅1卫,3900, 翻身路,2室1厅2卫 67㎡ 西南向 精装修 
西乡带阳台大一房一厅出租，创业人士热租房,2780, 西乡,1室1厅1卫 40㎡ 东南向 精装修 
东南向看海景中高楼层翡翠海岸简欧风格三房两厅两卫看房方便,15000, 后海,3室2厅3卫 89.0㎡ 南向 精装修 
南海玫瑰150海景五房，南北通透，业主诚心出租！,20000, 蛇口,5室2厅5卫 150.0㎡ 南北向 精装修 
凤凰家园 3室1厅1卫,2400, 沙井,3室1厅3卫 80㎡ 南向 精装修 
疫情已过机场东 批量出租 价格优惠 地铁口精装一房带家私家电,1200, 宝安机场,1室1厅1卫 40.00㎡ 南向 精装修 
大新地铁站 一甲海边新村 独卫大单间 直租 押一付一性价比高,1350, 南头,1室1卫 14㎡ 南向 精装修 
上塘地铁站，日系风，门口上塘绘，地铁可直达福田,2088, 深圳北站,2室1厅2卫 50㎡ 南向 精装修 
保利上城 3室1厅1卫,3400, 龙岗中心城,3室1厅3卫 79㎡ 南向 精装修 
龙岗中心城 龙城中学旁紫薇花园 精装三房 全家私电 随时可看,3800, 龙岗中心城,3室2厅3卫 87㎡ 南向 精装修 
金地名津(楼) 采光充足，小区位置好，楼下有超市，交通方,2180, 福田口岸,1室1卫 21.00㎡ 东向 精装修 
星海名城五期 停车方便 家私齐全 社区舒适 看房方便 采光好,5500, 前海,2室1厅2卫 43.00㎡ 南向 精装修 
坳下村 1室 0厅1卫,1180, 莲塘,1室1卫 30㎡ 南向 简单装修 
1号线固戍地铁站 大间带阳台 朝阳通风 毕业季好房 无中介,1780, 固戍,1室1卫 29.00㎡ 东西向 精装修 
太太药业公寓  精装修 家电齐全 有空调 拎包住 干净 干净,2250, 科技园,1室1卫 19.00㎡ 西向 精装修 
整租5号线上塘站隔圳新村 精装公寓拎包住 采光通风好随时看房,1400, 民治,1室1卫 26㎡ 南向 精装修 
三和村 1室0厅1卫,800, 南联,1室1卫 28.50㎡ 南北向 简单装修 
精装联排别墅全齐出租，看房方便有钥匙,45000, 科技园,6室2厅6卫 232.00㎡ 南向 精装修 
出租，租金减免2月天然居 打给我了解更多优惠！,2110, 景田北,1室1卫 22.00㎡ 东向 精装修 
民治 朝阳新村 标准单间 配套齐全 采光好,1500, 民治,1室1卫 25㎡ 南向 精装修 
三和村 1室0厅1卫,530, 南联,1室1卫 25㎡ 南向 简单装修 
5号线翻身地铁 首月免租 质优价廉 停车方便 押一付一,2965, 宝安中心区,2室1厅2卫 52㎡ 南向 精装修 
深圳北站下一站，红山地铁站，红山6979红山府，你的欢乐海岸,6800, 民治,3室2厅3卫 72.3㎡ 北向 精装修 
一号线坪洲站 麻布新村复式 合租价 价格看上可谈,1500, 西乡,1室1厅1卫 20.00㎡ 东南向 精装修 
东部英郡假日广场 1室0厅1卫,1180, 丹竹头,1室1卫 26㎡ 南北向 精装修 
佳兆业前海广场 3室1厅1卫 8500元月 豪华装修,8500, 前海,3室1厅3卫 83㎡ 东南向 豪华装修 
整租 白石龙 精装套一 地铁近 软件园温馨,2800, 梅林关口,1室1厅1卫 45㎡ 南向 精装修 
急！等您电话！朗山路91号小区  诚意租 首月免租金，装修,2300, 科技园,1室1卫 18.00㎡ 西向 精装修 
山咀头村 1室1厅1卫,1500, 龙华中心区,1室1厅1卫 20㎡ 东向 精装修 
房东 直租无中 精装一房家电全 环境好出行方便 急租来电看房,1850, 桃源村,1室1厅1卫 45㎡ 南向 精装修 
洪浪北地铁站 一房一厅标配出租 南向高层 双阳台 通风采光好,2080, 新安,1室1卫 21㎡ 东南向 精装修 
海洲苑 3室 1厅2卫,5600, 白石洲,3室1厅3卫 85㎡ 南北向 精装修 
